Year,Links
2018,http://www.gov.cn/premier/2018-03/22/content_5276608.htm
2017,http://www.gov.cn/premier/2017-03/16/content_5177940.htm
2016,http://www.gov.cn/premier/2016-03/17/content_5054901.htm
2015,http://www.gov.cn/guowuyuan/2015-03/16/content_2835101.htm
2014,http://www.gov.cn/guowuyuan/2014-03/14/content_2638989.htm
2013,http://www.gov.cn/premier/2013-03/19/content_2357136.htm
2012,http://www.gov.cn/premier/2012-03/15/content_2067314.htm
2011,http://www.gov.cn/2011lh/content_1825233.htm
2010,http://www.gov.cn/2010lh/content_1555767.htm
2009,http://www.gov.cn/premier/2009-03/16/content_1260221.htm
2008,http://www.gov.cn/premier/2009-03/16/content_1260198.htm
2007,http://www.gov.cn/premier/2009-03/16/content_1260188.htm
2006,http://www.gov.cn/premier/2009-03/16/content_1260216.htm
2005,http://www.gov.cn/premier/2006-02/16/content_201218.htm
2004,http://www.gov.cn/premier/2006-02/16/content_201193.htm
2003,http://www.gov.cn/premier/2006-02/16/content_201173.htm
2002,http://www.gov.cn/premier/2006-02/16/content_201164.htm
2001,http://www.gov.cn/premier/2006-02/16/content_201157.htm
2000,http://www.gov.cn/premier/2006-02/16/content_201153.htm
1999,http://www.gov.cn/premier/2006-02/16/content_201143.htm
1998,http://www.gov.cn/premier/2006-02/16/content_201129.htm
1997,http://www.gov.cn/premier/2006-02/16/content_201124.htm
1996,http://www.gov.cn/premier/2006-02/16/content_201115.htm
1995,http://www.gov.cn/premier/2006-02/16/content_201109.htm
1994,http://www.gov.cn/premier/2006-02/16/content_201101.htm
1993,http://www.gov.cn/premier/2006-02/16/content_200926.htm
1992,http://www.gov.cn/premier/2006-02/16/content_200922.htm
1991,http://www.gov.cn/premier/2006-02/16/content_200903.htm
1990,http://www.gov.cn/premier/2006-02/16/content_200883.htm
1989,http://www.gov.cn/premier/2006-02/16/content_200875.htm
1988,http://www.gov.cn/premier/2006-02/16/content_200865.htm
1987,http://www.gov.cn/premier/2006-02/16/content_200857.htm
1986,http://www.gov.cn/premier/2006-02/16/content_200850.htm
1985,http://www.gov.cn/premier/2006-02/16/content_200841.htm
1984,http://www.gov.cn/premier/2006-02/16/content_200834.htm
1983,http://www.gov.cn/premier/2006-02/16/content_200823.htm
1982,http://www.gov.cn/premier/2006-02/23/content_208652.htm
1981,http://www.gov.cn/premier/2006-02/16/content_200802.htm
1980,http://www.gov.cn/premier/2006-02/16/content_200778.htm
1979,http://www.gov.cn/premier/2006-02/16/content_200759.htm
1978,http://www.gov.cn/premier/2006-02/16/content_200704.htm
1975,http://www.gov.cn/premier/2006-02/23/content_208796.htm
1964,http://www.gov.cn/premier/2006-02/23/content_208787.htm
1960,http://www.gov.cn/premier/2006-02/27/content_212502.htm
1959,http://www.gov.cn/premier/2006-02/23/content_208774.htm
1958,http://www.gov.cn/premier/2006-02/23/content_208767.htm
1957,http://www.gov.cn/premier/2006-02/23/content_208756.htm
1956,http://www.gov.cn/premier/2006-02/23/content_208738.htm
1955,http://www.gov.cn/premier/2006-02/23/content_208705.htm
1954,http://www.gov.cn/premier/2006-02/23/content_208673.htm
